Title,Caste,Religion,Count_of_Voter_ID
आलमगिर,Others,N,1
आसिन,Others,N,1
आसिफ,Others,N,1
इफतेखार,Others,N,1
इमतियाज,Others,N,1
इरशाद,Others,N,1
इरसाद,Others,N,1
इशरार,Others,N,1
इसराफील,Others,N,1
इसा,Others,N,1
इसूफ,Others,N,1
इस्तयाक,Others,N,1
इस्तेयाक,Others,N,1
इस्रयल,Others,N,1
उदिदन,Others,N,1
उद्धिन,Others,N,1
उरीन,Others,N,1
उल्‍्ला,Others,N,1
एजाज,Others,N,1
एजाज़,Others,N,1
एल्ताफ़,Others,N,1
ऐराकी,Others,N,1
औरंगज़ेब,Others,N,1
कमालउदीन,Others,N,1
कललु,Others,N,1
कलामुद्दीन,Others,N,1
कवीर,Others,N,1
काहौरासिया,Others,N,1
कु,Others,N,1
कुंजड़ा,Others,N,1
कुजज,Others,N,1
कुमारु,Others,N,1
कुयाम्र,Others,N,1
कुर,Others,N,1
केवार,Others,N,1
कैसरी,Others,N,1
कोयरी,Others,N,1
कौशर,Others,N,1
क्रादरी,Others,N,1
क्ुरेशी,Others,N,1
खीँ,Others,N,1
खुदाबश,Others,N,1
गयाश,Others,N,1
गाँधी,Others,N,1
चंदु,Others,N,1
चक्रवर्ती,Others,N,1
चन्द्रसाव,Others,N,1
चैरसिया,Others,N,1
चौरिसया,Others,N,1
छोटन,Others,N,1
जफीर,Others,N,1
जब्बर,Others,N,1
जसिमुद्दीन,Others,N,1
जहागिन,Others,N,1
जहागीर,Others,N,1
जावेद,Others,N,1
जुमन,Others,N,1
जौहरी,Others,N,1
ज्वार,Others,N,1
झु,Others,N,1
टुरिया,Others,N,1
टोला,Others,N,1
ठ,Others,N,1
ठतेरा,Others,N,1
ठु0कुमार,Others,N,1
ठुपासवाण,Others,N,1
ठुप्रसाद,Others,N,1
ततौ,Others,N,1
तुफानी,Others,N,1
तौसिफ़,Others,N,1
दपासवान,Others,N,1
दानिश,Others,N,1
दाश,Others,N,1
दीपक,Others,N,1
दुसाघ,Others,N,1
दूमहतो,Others,N,1
दोम,Others,N,1
नईमी,Others,N,1
नबाब,Others,N,1
नबीना,Others,N,1
नसरी,Others,N,1
नसिन,Others,N,1
नियार,Others,N,1
निषार,Others,N,1
नीलम,Others,N,1
नेहाल,Others,N,1
नौसाद,Others,N,1
पंकज,Others,N,1
पंडीज,Others,N,1
पटेल,Others,N,1
परत,Others,N,1
परमहस,Others,N,1
पसवान,Others,N,1
पांडये,Others,N,1
पाणडेय,Others,N,1
पॉँय,Others,N,1
प्रवीन,Others,N,1
प्रसादसिह,Others,N,1
प्रिय,Others,N,1
प्रेमी,Others,N,1
फकरूदीन,Others,N,1
फ़क्कदुदीन,Others,N,1
फार,Others,N,1
फिरोज,Others,N,1
फैकू,Others,N,1
फैजल,Others,N,1
फौलाद,Others,N,1
फ्रैयाज़,Others,N,1
बख्त,Others,N,1
बहादूर,Others,N,1
बाबु,Others,N,1
बिन्दु,Others,N,1
बिश्वकर्म,Others,N,1
बेगम,Others,N,1
भरद्वाज,Others,N,1
भारद्वाज,Others,N,1
भूल,Others,N,1
भूली,Others,N,1
भोखतार,Others,N,1
मंजर,Others,N,1
मंज्झी,Others,N,1
मंज्ञी,Others,N,1
मंथ,Others,N,1
मकसूद,Others,N,1
मजीव,Others,N,1
मणीर,Others,N,1
मन,Others,N,1
मलाकर,Others,N,1
मलिक्क,Others,N,1
महतौोक,Others,N,1
महमों,Others,N,1
महराम,Others,N,1
महल्‍्तो,Others,N,1
महातों,Others,N,1
महुड,Others,N,1
माँझ,Others,N,1
मांझी',Others,N,1
माजी,Others,N,1
माधवन,Others,N,1
माहृतो,Others,N,1
मिरयीँ,Others,N,1
मीनहाजुदीन,Others,N,1
मुख्तार,Others,N,1
मुतर्जा,Others,N,1
मुताज,Others,N,1
मुरमू,Others,N,1
मुराद,Others,N,1
मुरारी,Others,N,1
मुर्स0लम,Others,N,1
मुश्ताक,Others,N,1
मुस्तकीम,Others,N,1
मुस्तफ,Others,N,1
मोजासिम,Others,N,1
मोजाहीद,Others,N,1
मोझी,Others,N,1
मोफिया,Others,N,1
मोहमम्द,Others,N,1
मोहसिन,Others,N,1
मोहिब,Others,N,1
मौजिद,Others,N,1
यावद,Others,N,1
यावादा,Others,N,1
याहृव,Others,N,1
युसूफ़,Others,N,1
यूसुफ़,Others,N,1
रंजक,Others,N,1
रआजाद,Others,N,1
रइश,Others,N,1
रज़क,Others,N,1
रज़ाक्र,Others,N,1
रमणी,Others,N,1
रवदास,Others,N,1
रव्वानी,Others,N,1
राइ,Others,N,1
राजा,Others,N,1
राजाबंशी,Others,N,1
रामउ,Others,N,1
रामश,Others,N,1
राव,Others,N,1
राविंदस,Others,N,1
रिखियासन,Others,N,1
रिज़वाना,Others,N,1
रुलाम,Others,N,1
लहसन,Others,N,1
लालहलबाई,Others,N,1
लुकमान,Others,N,1
वर॑य,Others,N,1
वरैया,Others,N,1
विदास,Others,N,1
विवेक,Others,N,1
विशवकर्म,Others,N,1
शप58,Others,N,1
शम्स,Others,N,1
शसीम,Others,N,1
शुभम,Others,N,1
शॉ.,Others,N,1
श्राआ,Others,N,1
सउद,Others,N,1
सक्सेना,Others,N,1
सदीकी,Others,N,1
सफी,Others,N,1
सबिजफरोस,Others,N,1
सब्जिफरोस,Others,N,1
सब्बानी,Others,N,1
समशाद,Shamsad,M,1
सरफ़राज,Sarfaraz,M,1
सरवर,Others,N,1
सराफत,Others,N,1
सहिद',Others,N,1
साई,Others,N,1
साकिव,Others,N,1
साबीर,Others,N,1
सास,Others,N,1
सिद्धिकी,Others,N,1
सी,Others,N,1
सुजायत,Others,N,1
सुबहान,Others,N,1
सुभाष,Others,N,1
सुल्तान,Others,N,1
सूरखाब,Others,N,1
सेराज,Others,N,1
सोनकर,Others,N,1
सोनी,Others,N,1
सोहराब,Others,N,1
ह008त,Others,N,1
हदीश,Hadis,M,1
हदीस,Hadis,M,1
हनिफ,Hanif,M,1
हनीफ़,Hanif,M,1
हमद,Hamad,N,1
हलिम,Halmi,M,1
हाकिम,Hakmi,N,1
हुज्जमा,Huzzma,N,1
हेब्रम,Hembram,N,1
हेमब्रम,Hembram,N,1
हेम्द्रम,Hembram,N,1
हैम्प्रम,Hembram,N,1
