surname,strength,surname_clean
अरसाड,1,अरसाड
अरहाद,1,अरहाद
अरिम,1,अरिम
अरीफ,1,अरीफ
अरूण,1,अरूण
अरोज,1,अरोज
अर्नव,1,अर्नव
अलंम,1,अलंम
अलतमस,1,अलतमस
अलताफ,1,अलताफ
अलबेला,2,अलबेला
अलबैला,3,अलबैला
अलम,7,अलम
अलमगीर,5,अलमगीर
अलमद,1,अलमद
अलमास,1,अलमास
अलसम,2,अलसम
अलाउददीन,4,अलाउददीन
अलाउदीन,8,अलाउदीन
अलाउद्दीन,37,अलाउद्दीन
अलाउद्धीन,7,अलाउद्धीन
अलाउद्‌दी,1,अलाउद्दी
अलाद्धीन,1,अलाद्धीन
अलाम,2,अलाम
अलामं,1,अलामं
अलाम॑,2,अलाम॑
अलाल्म,2,अलाल्म
अलाह,1,अलाह
अलाहुदृदीन,1,अलाहुदृदीन
अलि,47,अलि
अलिखाँ,1,अलिखाँ
अलिजान,1,अलिजान
अली,1014,अली
अलीं,1,अलीं
अलीउदीन,1,अलीउदीन
अलीजान,1,अलीजान
अलीजानउद्दीन,1,अलीजानउद्दीन
अलीजौहर,1,अलीजौहर
अलीबक्श,1,अलीबक्श
अलीम,25,अलीम
अलीमुद्दीन,2,अलीमुद्दीन
अलीशेर,1,अलीशेर
अलौक,1,अलौक
अलौद्धीन,2,अलौद्धीन
अल्ताफ,1,अल्ताफ
अल्लम,1,अल्लम
अल्लाउददीन,1,अल्लाउददीन
अल्लाउदिंदन,2,अल्लाउदिंदन
अल्लाउदीन,4,अल्लाउदीन
अल्लाउद्ंदन,1,अल्लाउद्ंदन
अल्लाउद्दिन,1,अल्लाउद्दिन
अल्लाउद्दीन,4,अल्लाउद्दीन
अल्लाऊद्दीन,4,अल्लाऊद्दीन
अल्लाह,4,अल्लाह
अल्लाह.,1,अल्लाह
अल्लाहउद्दीन,1,अल्लाहउद्दीन
अल्ली,1,अल्ली
अल्लौदृदीन,3,अल्लौदृदीन
अल्हाउद्दीन,1,अल्हाउद्दीन
अल्हौद्दीन,2,अल्हौद्दीन
अल्‍्ला,1,अल््ला
अल्‍्लाउद्दीन,5,अल््लाउद्दीन
अल्‍्ली,2,अल््ली
अवतार,1,अवतार
अवदीन,2,अवदीन
अवदुल,1,अवदुल
अववास,1,अववास
अवादीन,1,अवादीन
अवास,3,अवास
अविद,3,अविद
अशकार,2,अशकार
अशन,2,अशन
अशफाक,4,अशफाक
अशरफ,21,अशरफ
अशलम,1,अशलम
अशलमर्खी,1,अशलमर्खी
अशीन,1,अशीन
अशोक,2,अशोक
अश्फाक,1,अश्फाक
असकर,1,असकर
असकार,4,असकार
असगर,46,असगर
असग़र,1,असग़र
असगार,2,असगार
असदक,1,असदक
असन,1,असन
असपाक,1,असपाक
असफहान,1,असफहान
असफाक,2,असफाक
असमान,1,असमान
असरथी,1,असरथी
असरफ,23,असरफ
असरफा,1,असरफा
असरी,1,असरी
असरुफ़,1,असरुफ़
असलम,172,असलम
असलम*,1,असलम
असलमर्खी,1,असलमर्खी
असलाम,2,असलाम
असांरी,5,असांरी
असारि,1,असारि
असारी,12,असारी
असीन,1,असीन
असीम,2,असीम
अस्तिक,1,अस्तिक
अस्लम,9,अस्लम
अहकद,1,अहकद
अहद,2,अहद
अहम,2,अहम
अहमउ,1,अहमउ
अहमद,1005,अहमद
अहमदूद,1,अहमदूद
अहम्मद,3,अहम्मद
अहम्मेद,3,अहम्मेद
अहया,1,अहया
अहसन,3,अहसन
अहसान,3,अहसान
अहिया,1,अहिया
अहुबब्द,1,अहुबब्द
अहेमद,4,अहेमद
अहैमद,6,अहैमद
अुहम्मद,1,अुहम्मद
आंसरी,1,आंसरी
आंसारी,3,आंसारी
आकाश,1,आकाश
आकिल,1,आकिल
आकीब,1,आकीब
आकुम,1,आकुम
आकुव,4,आकुव
आजम,30,आजम
आजमी,4,आजमी
आजर,1,आजर
आज़म,9,आज़म
आज़मी,3,आज़मी
आज़ाद,2,आज़ाद
