surname,strength,surname_clean
कुडंल,1,कुडंल
कुणाल,3,कुणाल
कुददुस,1,कुददुस
कुदमार,6,कुदमार
कुदरत,9,कुदरत
कुदुदुश,4,कुदुदुश
कुदुम,1,कुदुम
कुदुमार,2,कुदुमार
कुदुश,9,कुदुश
कुदुस,10,कुदुस
कुदूस,4,कुदूस
कुदृदुस,1,कुदृदुस
कुद्दुश,1,कुद्दुश
कुद्दुस,5,कुद्दुस
कुद्मार,1,कुद्मार
कुन्दन,1,कुन्दन
कुपुमार,1,कुपुमार
कुब,1,कुब
कुबैन,1,कुबैन
कुमर,25,कुमर
कुमरा,2,कुमरा
कुमर्व,1,कुमर्व
कुमा,4,कुमा
कुमामर,1,कुमामर
कुमार,17746,कुमार
कुमारयादव,1,कुमारयादव
कुमारसिन्हा,1,कुमारसिन्हा
कुमारह,1,कुमारह
कुमारी,25,कुमारी
कुमारु,1,कुमारु
कुमार्‌,1,कुमार्
कुम्नर,1,कुम्नर
कुम्हार,6,कुम्हार
कुयाम्र,1,कुयाम्र
कुर,1,कुर
कुरवान,2,कुरवान
कुरान,1,कुरान
कुरेशी,1,कुरेशी
कुरेसी,1,कुरेसी
कुरैठैसी,1,कुरैठैसी
कुरैशी,9,कुरैशी
कुरैसी,10,कुरैसी
कुर्बान,5,कुर्बान
कुर्मी,1,कुर्मी
कुर्वान,1,कुर्वान
कुर्शी,1,कुर्शी
कुवार्या,1,कुवार्या
कुवेट,1,कुवेट
कुश,1,कुश
कुशबाहा,5,कुशबाहा
कुशमकार,1,कुशमकार
कुशयुम,1,कुशयुम
कुशवाह,2,कुशवाह
कुशवाहा,136,कुशवाहा
कुश्यूम,1,कुश्यूम
कुष्दास,1,कुष्दास
कुसमाकर,1,कुसमाकर
कुसाव,1,कुसाव
कुसुम,1,कुसुम
कुहुद,1,कुहुद
कु०सिंह,1,कुसिंह
कूमार,2,कूमार
कृदुमार,1,कृदुमार
कृमार,22,कृमार
कृयूम,1,कृयूम
कृशयुम,5,कृशयुम
कृष्ण,4,कृष्ण
कृष्णा,2,कृष्णा
के,1,के
केबट,1,केबट
केवट,178,केवट
केवत,12,केवत
केवर,7,केवर
केवर्त,1,केवर्त
केवार,1,केवार
केवेट,1,केवेट
केश,1,केश
केशर,1,केशर
केशरी,3,केशरी
केशव,1,केशव
केसरी,2,केसरी
कैयुम,22,कैयुम
कैयूम,9,कैयूम
कैय्युम,1,कैय्युम
कैलाश,1,कैलाश
कैवंट,1,कैवंट
कैवट,208,कैवट
कैवत,39,कैवत
कैवर,3,कैवर
कैवार्र,1,कैवार्र
कैश,2,कैश
कैशर,1,कैशर
कैस,3,कैस
कैसर,13,कैसर
कैसरी,2,कैसरी
कॉत,1,कॉत
कोयरी,1,कोयरी
कोयुम,1,कोयुम
कोरशी,6,कोरशी
कोरेशी,1,कोरेशी
कोरैशी,7,कोरैशी
कोरैसी,4,कोरैसी
कोसर,2,कोसर
कौकिल,1,कौकिल
कौयुम,3,कौयुम
कौरशी,1,कौरशी
कौशर,11,कौशर
कौशल,2,कौशल
कौशलेन्द्र,1,कौशलेन्द्र
कौशिक,2,कौशिक
कौशिर,1,कौशिर
कौसर,11,कौसर
कौसिक,1,कौसिक
क्यास,1,क्यास
क्युम,4,क्युम
क्यूम,19,क्यूम
क्रमर,1,क्रमर
क्रमरुदूदीन,2,क्रमरुदूदीन
क्रयूम,1,क्रयूम
क्रय्यूम,5,क्रय्यूम
क्रादरी,3,क्रादरी
क्रादिर,1,क्रादिर
क्रीम,2,क्रीम
क्रैयूम,2,क्रैयूम
क्रैसर,1,क्रैसर
क्ुइयाम,1,क्ुइयाम
क्ुदुस,1,क्ुदुस
क्ुरेशी,1,क्ुरेशी
क्‌7यूम,1,क्यूम
क्‌?युम,1,क्युम
क्‌?यूम,2,क्यूम
ख,1,ख
खँ,4,खँ
खं,2,खं
खजीज,1,खजीज
खदीन,1,खदीन
खन,1,खन
खना,1,खना
खन्ना,1,खन्ना
खयाम,2,खयाम
खलिफा,45,खलिफा
खलिल,1,खलिल
खलीक,1,खलीक
खलीना,1,खलीना
खलीफ,2,खलीफ
खलीफा,19,खलीफा
खलीम,1,खलीम
खलील,47,खलील
खलीलउद्‌दीन,1,खलीलउद्दीन
खल्लाक,2,खल्लाक
खल्लीक,1,खल्लीक
खल्‍्लाह,1,खल््लाह
ख़लील,1,ख़लील
ख़ातुन,19,ख़ातुन
खा,440,खा
खाँ,2102,खाँ
खाँ.,3,खाँ
खाँ1,1,खाँ
खाँठि,1,खाँठि
खां,749,खां
खाऊन,2,खाऊन
खाएं,1,खाएं
खाजा,2,खाजा
खाजेनुर,4,खाजेनुर
खातुन,72,खातुन
खातून,89,खातून
खादिम,1,खादिम
खान,2297,खान
खान',1,खान
खानम,1,खानम
खानी,2,खानी
खाल,1,खाल
खालिद,8,खालिद
खालीक,3,खालीक
खालीद,3,खालीद
खालीप,1,खालीप
खालीफ,3,खालीफ
खि्मिस्त्री,1,खि्मिस्त्री
खीँ,7,खीँ
खीं,6,खीं
खुदाबक्श,1,खुदाबक्श
खुदाबश,1,खुदाबश
खुदुश,1,खुदुश
खुरशीद,5,खुरशीद
खुरसीदआलम,2,खुरसीदआलम
खुर्शीद,16,खुर्शीद
खुशीद,1,खुशीद
खें,3,खें
खेर,4,खेर
खेलावन,1,खेलावन
खैर,29,खैर
खैरी,2,खैरी
खैरुल,1,खैरुल
खॉउ,2,खॉउ
खो,10,खो
खोँ,1,खोँ
खों,2,खों
ख्वादी,1,ख्वादी
ख्वानी,1,ख्वानी
गढ़ा,1,गढ़ा
गणी,6,गणी
गदीम,1,गदीम
गनि,1,गनि
गनी,67,गनी
गन्‍नी,2,गन्नी
गप्फार,1,गप्फार
गफफार,5,गफफार
गफफ्र,1,गफफ्र
गफर,1,गफर
गफ़ार,2,गफ़ार
गफ़ूर,1,गफ़ूर
गफ़्फ़ार,1,गफ़्फ़ार
गफार,35,गफार
गफुफार,6,गफुफार
गफुर,21,गफुर
गफूर,26,गफूर
गफ्फार,17,गफ्फार
गफ्फुर,2,गफ्फुर
गब्बर,1,गब्बर
गयाश,2,गयाश
गयास,1,गयास
गयासउदीन,2,गयासउदीन
गयासउद्दीन,1,गयासउद्दीन
गयासमलिक,1,गयासमलिक
गराय,1,गराय
गवास्कर,1,गवास्कर
गसिम,1,गसिम
गसीम,1,गसीम
गहुकर,1,गहुकर
ग़फ़ूर,1,ग़फ़ूर
गाँधी,2,गाँधी
गांधी,1,गांधी
गाणी,4,गाणी
गासिम,2,गासिम
गासीम,1,गासीम
गिनी,1,गिनी
गिर,9,गिर
गिराज,3,गिराज
गिरि,4,गिरि
गिरी,89,गिरी
गिर्सलम,1,गिर्सलम
गिलानी,7,गिलानी
गीर,5,गीर
गीरी,1,गीरी
गीलानी,2,गीलानी
गुड़्डू,1,गुड़्डू
गुड्डू,4,गुड्डू
गुड्धू,1,गुड्धू
गुपता,1,गुपता
गुप्त,4,गुप्त
गुप्ता,355,गुप्ता
गुफरान,5,गुफरान
गुल,1,गुल
गुलजार,3,गुलजार
गुलसन,1,गुलसन
गुलाब,2,गुलाब
गुलाम,13,गुलाम
गेराई,1,गेराई
गैयाश,1,गैयाश
गैयास,2,गैयास
गैयासुद्दीन,1,गैयासुद्दीन
गैराई,9,गैराई
गो,1,गो
गोप,184,गोप
गोपाल,3,गोपाल
गोपी,1,गोपी
गोबिन,1,गोबिन
गोला,3,गोला
गोल्डन,2,गोल्डन
गोसाइ,1,गोसाइ
गोसाई,12,गोसाई
गोसाईं,4,गोसाईं
गोस्व,1,गोस्व
गोस्वमी,5,गोस्वमी
गोस्वामी,75,गोस्वामी
गोस्व्वामी,2,गोस्व्वामी
गौतम,6,गौतम
गौतमेन्द्र,1,गौतमेन्द्र
गौरब,1,गौरब
गौरव,22,गौरव
गौश,1,गौश
गौस,2,गौस
गौसवामी,1,गौसवामी
गौस्वामी,34,गौस्वामी
ग्फुर,1,ग्फुर
ग्यादव,1,ग्यादव
ग्यास,12,ग्यास
ग्यासउद्दीन,1,ग्यासउद्दीन
ग्यासुद्दीन,1,ग्यासुद्दीन
ग्रादव,1,ग्रादव
ग्वादव,1,ग्वादव
ग्ू,1,ग्ू
घटवार,21,घटवार
घाछालम,1,घाछालम
घोबी,9,घोबी
घोवी,2,घोवी
घोष,1,घोष
चंद,7,चंद
चंदन,1,चंदन
चंदराम,1,चंदराम
चंदु,2,चंदु
चंदू,4,चंदू
चंद्र,1,चंद्र
चंद्रवंशी,2,चंद्रवंशी
चंद्रिका,1,चंद्रिका
चकऊचन,1,चकऊचन
चकवर्ती,1,चकवर्ती
चकोर,1,चकोर
चकौर,4,चकौर
चक्रवती,3,चक्रवती
चक्रवर्ती,16,चक्रवर्ती
चक्रवाती,1,चक्रवाती
चघरी,3,चघरी
चन्द,3,चन्द
चन्दन,3,चन्दन
चन्दर्वशी,1,चन्दर्वशी
चन्दू,3,चन्दू
चन्द्र,16,चन्द्र
चन्द्रकान्त,1,चन्द्रकान्त
चन्द्रवंशी,4,चन्द्रवंशी
चन्द्रवाशी,1,चन्द्रवाशी
चन्द्रसाव,1,चन्द्रसाव
चन्द्रहास्य,1,चन्द्रहास्य
चन्द्रा,2,चन्द्रा
चमारी,2,चमारी
चरण,4,चरण
चरसिया,1,चरसिया
चाँद,13,चाँद
चांद,5,चांद
चाएँधरी,1,चाएँधरी
चाघरी,1,चाघरी
चादव,1,चादव
चाहोन,1,चाहोन
चुअसिया,1,चुअसिया
चुघ्री,2,चुघ्री
चुडीफरोस,2,चुडीफरोस
चुदिफ्रिसोह,1,चुदिफ्रिसोह
चुदिफ्रोश,2,चुदिफ्रोश
चुधरी,1,चुधरी
चुधारी,1,चुधारी
चुनु,1,चुनु
चुरिफरोश,1,चुरिफरोश
चुल्हन,1,चुल्हन
चुल्हनर,1,चुल्हनर
चुहान,1,चुहान
चूड़ीफरोश,1,चूड़ीफरोश
चूडीफरोश,1,चूडीफरोश
चूल्हे,1,चूल्हे
चैघरी,1,चैघरी
चैधरी,2,चैधरी
चैधुरी,1,चैधुरी
चैरसिया,1,चैरसिया
चॉद,1,चॉद
चोएँघरी,5,चोएँघरी
चोएँधरी,4,चोएँधरी
चोएैधघरी,1,चोएैधघरी
चोएैधरी,2,चोएैधरी
चोघरी,13,चोघरी
चोठैघरी,2,चोठैघरी
चोठैरसिया,1,चोठैरसिया
चोधरी,22,चोधरी
चोरसिया,3,चोरसिया
चोरसीया,1,चोरसीया
चोरासिया,1,चोरासिया
चोहान,4,चोहान
चो०,1,चो
चौ,1,चौ
चौंघरी,1,चौंघरी
चौघर,4,चौघर
चौघरी,758,चौघरी
चौघरी',2,चौघरी
चौघुरी,2,चौघुरी
चौचंद,2,चौचंद
चौच्हन,2,चौच्हन
चौठान,1,चौठान
चौढान,1,चौढान
चौदरी,8,चौदरी
चौदरेय,1,चौदरेय
चौदहरी,4,चौदहरी
चौदही,3,चौदही
चौदारू,1,चौदारू
चौधग्री,1,चौधग्री
चौधन,3,चौधन
चौधरी,7739,चौधरी
चौधरीएं,1,चौधरीएं
चौधरीएु,1,चौधरीएु
चौधरीश,1,चौधरीश
चौधारी,7,चौधारी
चौधिरी,1,चौधिरी
चौधुरी,1,चौधुरी
चौधोरी,3,चौधोरी
चौबे,5,चौबे
चौरशिया,2,चौरशिया
चौरसया,2,चौरसया
चौरसिया,595,चौरसिया
चौरसियाठि,1,चौरसियाठि
चौरसीया,28,चौरसीया
चौराशिया,4,चौराशिया
चौरासिया,4,चौरासिया
चौरिसया,1,चौरिसया
चौरिसिया,3,चौरिसिया
चौरीया,1,चौरीया
चौसरिया,1,चौसरिया
चौहंफ़,1,चौहंफ़
चौहन,11,चौहन
चौहा,6,चौहा
चौहान,3378,चौहान
चौहार,1,चौहार
चौहाल,1,चौहाल
छकुमार,1,छकुमार
छकेठयुम,1,छकेठयुम
छगुप्ता,1,छगुप्ता
छठाकुर,1,छठाकुर
छान्ति,1,छान्ति
छाम,1,छाम
छासम,1,छासम
छासाव,1,छासाव
छि0',1,छि
छिएमस्त्री,1,छिएमस्त्री
छिएसंन्हा,1,छिएसंन्हा
छिएसंह,2,छिएसंह
छिएसत्रह,1,छिएसत्रह
छिएसह,3,छिएसह
छितु,1,छितु
छु,1,छु
छुअलि,1,छुअलि
छुआलम,1,छुआलम
छुउदीन,1,छुउदीन
छुउद्दीन,1,छुउद्दीन
छुकुमार,9,छुकुमार
छुचौघरी,1,छुचौघरी
छुचौधरी,1,छुचौधरी
छुपाण्डेय,1,छुपाण्डेय
छुप्रसाद,5,छुप्रसाद
छुबारिफ,1,छुबारिफ
छुमहतों,1,छुमहतों
छुमार,1,छुमार
छुमियां,1,छुमियां
छुयादव,4,छुयादव
छुराउत,1,छुराउत
छुराम,1,छुराम
छुलाल,1,छुलाल
छुशर्मा,1,छुशर्मा
छुसाव,2,छुसाव
छुसिंह,2,छुसिंह
छुहुसैन,1,छुहुसैन
छेकुमार,3,छेकुमार
छेकृदुमार,1,छेकृदुमार
छेमहतों,1,छेमहतों
छेयादव,1,छेयादव
छोट,2,छोट
छोटन,3,छोटन
छोटा,2,छोटा
छोटू,3,छोटू
जंग,2,जंग
जंदी,1,जंदी
जक,1,जक
जकिर,4,जकिर
जकीर,13,जकीर
जगत,2,जगत
जनत,1,जनत
जनार,1,जनार
जनी,1,जनी
जफर,6,जफर
जफरुल्‍्लाह,1,जफरुल््लाह
जफल्‍्लाह,1,जफल््लाह
जफ़र,2,जफ़र
जफार,1,जफार
जफिर,2,जफिर
जफीर,13,जफीर
जफीरा,1,जफीरा
जबबार,2,जबबार
जबवार,1,जबवार
जबार,1,जबार
जब्बर,4,जब्बर
जब्बार,66,जब्बार
जब्वार,5,जब्वार
जमदार,4,जमदार
जमशेद,2,जमशेद
जमशैद,3,जमशैद
जमसैद,1,जमसैद
जमा,4,जमा
जमाँ,1,जमाँ
जमादार,88,जमादार
जमाराद,1,जमाराद
जमाल,64,जमाल
जमालउदीन,4,जमालउदीन
जमालउद्दीन,2,जमालउद्दीन
जमालुद्दीन,2,जमालुद्दीन
जमाह,1,जमाह
जमीदर,1,जमीदर
जमीर,10,जमीर
जमीरुद्दीन,1,जमीरुद्दीन
जमील,14,जमील
जमेदार,3,जमेदार
जमैदार,2,जमैदार
जम्मिरुदूदीन,1,जम्मिरुदूदीन
जयन्त,1,जयन्त
जयाउददीन,1,जयाउददीन
जयाउदीन,3,जयाउदीन
जयाउद्दीन,2,जयाउद्दीन
जरराह,1,जरराह
जरह,2,जरह
जरोह,3,जरोह
जर्रा,5,जर्रा
जर्रां,1,जर्रां
जलाद,1,जलाद
जलान,1,जलान
जलाल,7,जलाल
जलालउद्दीन,1,जलालउद्दीन
जलालरखीँ,1,जलालरखीँ
जलीम,1,जलीम
जलील,28,जलील
जलोटा,2,जलोटा
जवर,4,जवर
जववार,2,जववार
जवाँ,1,जवाँ
जवार,8,जवार
जविद,1,जविद
जविर,1,जविर
जवैद्मिया,1,जवैद्मिया
जव्बार,1,जव्बार
जव्वार,3,जव्वार
जशिम,2,जशिम
जसिम,2,जसिम
जसिमुद्दीन,1,जसिमुद्दीन
जसीम,22,जसीम
जसीमअख्तर,1,जसीमअख्तर
जसीमउद्दीन,1,जसीमउद्दीन
जसीमुद्दीन,1,जसीमुद्दीन
जहंगीर,2,जहंगीर
जहर,1,जहर
जहाँ,1,जहाँ
जहाँगीर,28,जहाँगीर
जहांगीर,22,जहांगीर
जहागिन,1,जहागिन
जहागीर,5,जहागीर
जहीँगीर,1,जहीँगीर
जहीर,15,जहीर
जहीरउदीन,1,जहीरउदीन
ज़फरुदुदीन,1,ज़फरुदुदीन
ज़फ़रुदूदीन,1,ज़फ़रुदूदीन
ज़फ़रुल्ला,1,ज़फ़रुल्ला
ज़फ़रुल्लाह,1,ज़फ़रुल्लाह
ज़फीर,1,ज़फीर
ज़ाहिद,1,ज़ाहिद
ज़ियाउल,1,ज़ियाउल
ज़ुबेर,1,ज़ुबेर
ज़ुब्बैर,1,ज़ुब्बैर
जाउल,1,जाउल
जाकिर,3,जाकिर
जाकीर,5,जाकीर
जान,12,जान
जानकी,1,जानकी
जानखाँ,1,जानखाँ
जानी,1,जानी
जानीब,1,जानीब
जाफर,2,जाफर
जाबिद,8,जाबिद
जाबिर,6,जाबिर
जाबीद,2,जाबीद
जाबीर,5,जाबीर
जाबेद,2,जाबेद
जाब्बार,1,जाब्बार
जाम,3,जाम
जामा,2,जामा
जारवंशी,1,जारवंशी
जाविद,1,जाविद
जाविर,4,जाविर
जावीद,3,जावीद
जावीर,3,जावीर
जावेद,31,जावेद
जासमीन,1,जासमीन
जासिम,9,जासिम
जासीम,1,जासीम
जाहिद,28,जाहिद
जाहिर,5,जाहिर
जाहीद,4,जाहीद
जाहीर,2,जाहीर
जाहॉगीर,1,जाहॉगीर
जिंता,1,जिंता
जिनता,1,जिनता
जिन्‍नाह,1,जिन्नाह
जिब्राईल,1,जिब्राईल
जिया,1,जिया
जियाउदीन,1,जियाउदीन
जियाउद्दीन,2,जियाउद्दीन
जियाउरहमान,1,जियाउरहमान
जियादीन,1,जियादीन
जिलाना,1,जिलाना
जिलानी,21,जिलानी
जिव्दीन,1,जिव्दीन
जी,14,जी
जीतू,1,जीतू
जीलानी,7,जीलानी
जीशान,1,जीशान
जुनख,1,जुनख
जुनाव,2,जुनाव
जुनेद,3,जुनेद
जुनैद,8,जुनैद
जुन्नु,3,जुन्नु
जुबैर,8,जुबैर
जुमन,3,जुमन
जुमाई,1,जुमाई
जुमाय,1,जुमाय
जुम्मन,3,जुम्मन
जुलफकार,1,जुलफकार
जुलफ़कार,1,जुलफ़कार
जुलफैकर,1,जुलफैकर
जुल्जार,1,जुल्जार
जुल्फकार,3,जुल्फकार
जूनाद,1,जूनाद
जेयाअहमद,1,जेयाअहमद
जेयाउद्दीन,1,जेयाउद्दीन
जेवर,1,जेवर
जैटन,1,जैटन
जैनुदीन,1,जैनुदीन
जैनुल,9,जैनुल
जैनूल,1,जैनूल
जैश,1,जैश
जैस,5,जैस
जोगी,2,जोगी
जोनल,1,जोनल
जोनेघ,1,जोनेघ
जोरह,1,जोरह
जोहा,1,जोहा
जौधरी,1,जौधरी
जौसैफ,1,जौसैफ
जौहर,7,जौहर
जौहरी,2,जौहरी
ज्मों,1,ज्मों
ज्याउद्ीन,1,ज्याउद्ीन
ज्वार,1,ज्वार
झज्ञ,1,झज्ञ
झा,47,झा
झां,1,झां
झु,1,झु
झुला,3,झुला
टंडन,1,टंडन
टण्डन,1,टण्डन
टती,1,टती
टसाव,2,टसाव
टहल,1,टहल
टाकुर,1,टाकुर
टुचौहान,1,टुचौहान
टुडू,24,टुडू
टुमहतो,1,टुमहतो
टुरिया,1,टुरिया
टुल्‍्ला,1,टुल््ला
टूडू,2,टूडू
टूल,1,टूल
टेलर,60,टेलर
टेलर्स,1,टेलर्स
टेलर्‌,4,टेलर्
टैलर,9,टैलर
टोला,1,टोला
टौली,1,टौली
ट्ए,1,ट्ए
ठ,1,ठ
ठकुदमार,1,ठकुदमार
ठकुर,4,ठकुर
ठठेरा,44,ठठेरा
ठठैरा,34,ठठैरा
ठतेरा,1,ठतेरा
ठफरोस,1,ठफरोस
ठमहतों,1,ठमहतों
ठमुदीन,1,ठमुदीन
ठराजवंशी,1,ठराजवंशी
ठाकी,1,ठाकी
ठाकुर,2993,ठाकुर
ठाकुरी,2,ठाकुरी
ठाकुर्र,1,ठाकुर्र
ठाकूर,39,ठाकूर
ठाकृर,4,ठाकृर
ठाकृूर,2,ठाकृूर
ठाठेरा,1,ठाठेरा
ठासाव,1,ठासाव
ठि,6,ठि
ठि.0,1,ठि
ठिएंसह,2,ठिएंसह
ठिएसंह,16,ठिएसंह
ठिएसह,17,ठिएसह
ठिसंह,3,ठिसंह
ठीमेदार,1,ठीमेदार
ठीयादव,1,ठीयादव
ठु,1,ठु
ठु0कुमार,2,ठुकुमार
ठुअंसारी,1,ठुअंसारी
ठुअली,1,ठुअली
ठुकुमार,1,ठुकुमार
ठुचौधघरी,1,ठुचौधघरी
ठुपंडीत,1,ठुपंडीत
ठुपासवाण,1,ठुपासवाण
ठुप्रसाद,5,ठुप्रसाद
ठुयादव,1,ठुयादव
ठुरविदास,1,ठुरविदास
ठुराजवंशी,1,ठुराजवंशी
ठुराम,1,ठुराम
ठे,1,ठे
ठेकुमार,1,ठेकुमार
ठेतलत,1,ठेतलत
ठेयादव,1,ठेयादव
ठेसिंह,1,ठेसिंह
ड़ौम,1,ड़ौम
डीवी,1,डीवी
डीह,2,डीह
डेनिश,1,डेनिश
डेय,1,डेय
डॉम,18,डॉम
डोम,78,डोम
डौम,3,डौम
ड्राइवर,5,ड्राइवर
ढफाली,2,ढफाली
ण्सिंह,1,ण्सिंह
त,3,त
त#00085,1,त#
तंछति,1,तंछति
तंछाति,8,तंछाति
तंठाति,2,तंठाति
तंठ्ाति,2,तंठ्ाति
तंणाति,1,तंणाति
तंत,1,तंत
तंतवा,2,तंतवा
तंति,1,तंति
तंती,2,तंती
तंवीर,1,तंवीर
तंाति,1,तंाति
तकिम,1,तकिम
तकीम,1,तकीम
तखोँ,1,तखोँ
ततवा,22,ततवा
ततवाँ,2,ततवाँ
ततवां,1,ततवां
ततौ,1,ततौ
तदव,1,तदव
तनती,6,तनती
तनबीर,1,तनबीर
तनविर,1,तनविर
तनवीर,9,तनवीर
तबरेज,8,तबरेज
तबारक,10,तबारक
तब्रक,1,तब्रक
तमन्ना,1,तमन्ना
तमांझी,1,तमांझी
तमिलो,1,तमिलो
तमीली,1,तमीली
तमोली,27,तमोली
तमौली,13,तमौली
तयाव,1,तयाव
तरुण,7,तरुण
तरूण,4,तरूण
तरून,2,तरून
तवरेग,1,तवरेग
तवरेज,1,तवरेज
तवारक,3,तवारक
तवील,1,तवील
तसलिम,3,तसलिम
तसलीम,21,तसलीम
तसीम,3,तसीम
तस्लीम,17,तस्लीम
तहफीम,1,तहफीम
तहसीम,1,तहसीम
ता,1,ता
ताँति,3,ताँति
ताँती,39,ताँती
तांएंती,1,तांएंती
तांति,10,तांति
तांती,147,तांती
ताई,1,ताई
ताकीर,1,ताकीर
ताज,5,ताज
ताटी,1,ताटी
तातरी,1,तातरी
ताति,72,ताति
ताती,47,ताती
तारिक,1,तारिक
तारीफ़,1,तारीफ़
तालिब,1,तालिब
तालीब,1,तालीब
तालीम,1,तालीम
तासिम,1,तासिम
तासिर,2,तासिर
तासीम,3,तासीम
ताहिर,14,ताहिर
ताहीर,5,ताहीर
ताहेर,1,ताहेर
तिकुन,1,तिकुन
तिया,1,तिया
तिरकी,1,तिरकी
तिरिया,1,तिरिया
तिर्ण,1,तिर्ण
तिवारी,84,तिवारी
तिवीर,1,तिवीर
तुतीय,6,तुतीय
तुपपूरिया,1,तुपपूरिया
तुपूरिया,1,तुपूरिया
तुफानी,1,तुफानी
तुफैल,1,तुफैल
तुरया,3,तुरया
तुरिया,1244,तुरिया
तुरियाँ,1,तुरियाँ
तुरियां,1,तुरियां
तुरिसा,1,तुरिसा
तुरी,11,तुरी
तुरीय,84,तुरीय
तुरीया,97,तुरीया
तुरीयां,2,तुरीयां
तुरीयाश,1,तुरीयाश
तुरुया,1,तुरुया
तुलसी,1,तुलसी
तुला,2,तुला
तुल्लाह,5,तुल्लाह
तूतिया,4,तूतिया
तूरिया,22,तूरिया
तेयाउद्दीन,1,तेयाउद्दीन
तेरिया,1,तेरिया
तेशाम,1,तेशाम
तैफुल,1,तैफुल
तैयब,10,तैयब
तैयबअली,1,तैयबअली
तैयव,1,तैयव
तैय्यब,1,तैय्यब
तॉती,8,तॉती
तॉिती,1,तॉिती
तोफीक,1,तोफीक
तोहिर,1,तोहिर
तोहीक,1,तोहीक
तोहीद,2,तोहीद
तौंती,1,तौंती
तौएैफिक,1,तौएैफिक
तौकीर,2,तौकीर
तौढ़मन,1,तौढ़मन
तौती,4,तौती
तौफिक,3,तौफिक
तौफीक,3,तौफीक
तौरिया,3,तौरिया
तौवाब,1,तौवाब
तौसिफ़,1,तौसिफ़
तौहिद,3,तौहिद
तौहीद,2,तौहीद
त्यागी,2,त्यागी
त्रिपाठी,57,त्रिपाठी
त्रिबेदी,1,त्रिबेदी
त्रिवेदी,2,त्रिवेदी
त्वारक,1,त्वारक
द,3,द
द.,1,द
द0कुमार,2,दकुमार
दत,3,दत
दत्त,2,दत्त
दपासवान,1,दपासवान
दप्रसाद,2,दप्रसाद
दम,1,दम
दमहाराज,1,दमहाराज
दमांझी,2,दमांझी
दयाल,28,दयाल
दर,1,दर
दरखों,1,दरखों
दरजी,3,दरजी
दरविदास,1,दरविदास
दराज,2,दराज
दराजवंशी,1,दराजवंशी
दराम,1,दराम
दर्गी,2,दर्गी
दर्जी,10,दर्जी
दर्शी,1,दर्शी
दव,2,दव
दवाकर,1,दवाकर
दव्कर्मा,1,दव्कर्मा
दस,34,दस
दस्‌,1,दस्
दांगी,4,दांगी
दाउद,1,दाउद
दाउदी,1,दाउदी
दानिश,5,दानिश
दारु,1,दारु
दारू,1,दारू
दारूण,1,दारूण
दाश,1,दाश
दास,3640,दास
दास्दास,1,दास्दास
दि,1,दि
दिक्लीत,1,दिक्लीत
दिक्षीत,2,दिक्षीत
दिक्ीत,2,दिक्ीत
दिन,2,दिन
दिनकर,5,दिनकर
दिनेश,1,दिनेश
दिपक,4,दिपक
दिलकस,1,दिलकस
दिलदार,1,दिलदार
दिलशाद,4,दिलशाद
दिलावर,1,दिलावर
दिलीप,1,दिलीप
दिवाकर,12,दिवाकर
दिश्षीत,1,दिश्षीत
दिश्ीत,1,दिश्ीत
दिहा,1,दिहा
दि्लीत,1,दि्लीत
दीक्षित,4,दीक्षित
दीक्सित,1,दीक्सित
दीन,4,दीन
दीप,3,दीप
दीपक,4,दीपक
दीह,1,दीह
दु,1,दु
दु0कुमार,1,दुकुमार
दुअखतर,1,दुअखतर
दुअहमद,1,दुअहमद
दुआरी,1,दुआरी
दुआलम,3,दुआलम
दुकुमार,1,दुकुमार
दुखनशाह,1,दुखनशाह
दुछुराम,1,दुछुराम
दुजा,1,दुजा
दुठप्रसाद,1,दुठप्रसाद
दुठाकुर,2,दुठाकुर
दुबे,3,दुबे
दुमाझी,1,दुमाझी
दुयादव,2,दुयादव
दुराम,4,दुराम
दुराय,1,दुराय
दुला,1,दुला
दुलार,1,दुलार
दुवे,1,दुवे
दुसरवर,1,दुसरवर
दुसाघ,6,दुसाघ
दुसाद,2,दुसाद
दुसादय,2,दुसादय
दुसाद्य,2,दुसाद्य
दुसाध,18,दुसाध
दुसाह,1,दुसाह
दुसिंह,2,दुसिंह
दुसैन,1,दुसैन
दूबे,1,दूबे
दूमहतो,1,दूमहतो
दूमहतों,3,दूमहतों
दूमांझी,2,दूमांझी
दूराम,3,दूराम
दूर्माज्ी,1,दूर्माज्ी
दूर्माझी,1,दूर्माझी
दूर्माझ्ी,1,दूर्माझ्ी
दूसाघ,2,दूसाघ
दूसाध,4,दूसाध
दूसिंह,6,दूसिंह
दृठाकुर,1,दृठाकुर
दृदीन,2,दृदीन
दृमांझी,2,दृमांझी
दृयादव,1,दृयादव
दृशर्मा,1,दृशर्मा
देव,20,देव
देवत,1,देवत
देवयादव,1,देवयादव
देवर,1,देवर
देवी,745,देवी
देवेल,1,देवेल
दैवी,27,दैवी
दोडा,1,दोडा
दोम,3,दोम
दौगी,1,दौगी
दौजा,1,दौजा
दौड़ा,1,दौड़ा
द्यादव,1,द्यादव
धनिमंज्ञी,2,धनिमंज्ञी
धमनी,5,धमनी
धरिचौहन,1,धरिचौहन
धाकुर,1,धाकुर
धीर,2,धीर
धीरज,7,धीरज
धोनी,2,धोनी
धोबिन्द,1,धोबिन्द
धोबी,64,धोबी
